clone,cnv,chr,start,end
A,5,1,100000001,100500000
A,4,1,10000001,10500000
A,5,1,100500001,1.01e+08
A,5,1,101000001,101500000
A,5,1,101500001,1.02e+08
A,5,1,102000001,102500000
A,5,1,102500001,1.03e+08
A,5,1,103000001,103500000
A,5,1,104500001,1.05e+08
A,4,1,10500001,1.1e+07
A,5,1,105500001,1.06e+08
A,5,1,106000001,106500000
A,5,1,106500001,1.07e+08
A,5,1,107000001,107500000
A,5,1,107500001,1.08e+08
A,5,1,108000001,108500000
A,5,1,109500001,1.1e+08
A,4,1,11000001,11500000
A,5,1,110500001,1.11e+08
A,5,1,111000001,111500000
A,5,1,111500001,1.12e+08
A,5,1,112000001,112500000
A,5,1,113000001,113500000
A,5,1,114500001,1.15e+08
A,5,1,115000001,115500000
A,4,1,11500001,1.2e+07
A,5,1,115500001,1.16e+08
A,5,1,116000001,116500000
A,5,1,116500001,1.17e+08
A,5,1,117000001,117500000
A,5,1,117500001,1.18e+08
A,5,1,118000001,118500000
A,5,1,118500001,1.19e+08
A,5,1,119500001,1.2e+08
A,5,1,120000001,120500000
A,4,1,12000001,12500000
A,4,1,14000001,14500000
A,4,1,14500001,1.5e+07
A,6,1,150000001,150500000
A,4,1,15000001,15500000
A,6,1,150500001,1.51e+08
A,6,1,151000001,151500000
A,6,1,151500001,1.52e+08
A,6,1,152500001,1.53e+08
A,6,1,153000001,153500000
A,6,1,153500001,1.54e+08
A,6,1,154000001,154500000
A,6,1,154500001,1.55e+08
A,6,1,155000001,155500000
A,4,1,15500001,1.6e+07
A,6,1,156500001,1.57e+08
A,6,1,157000001,157500000
A,6.5,1,157500001,1.58e+08
A,7,1,158000001,158500000
A,7,1,160000001,160500000
A,4,1,16000001,16500000
A,7,1,160500001,1.61e+08
A,7,1,162000001,162500000
A,7,1,162500001,1.63e+08
A,7,1,163000001,163500000
A,7,1,164000001,164500000
A,7,1,164500001,1.65e+08
A,7,1,165000001,165500000
A,7,1,165500001,1.66e+08
A,7,1,166500001,1.67e+08
A,7,1,167000001,167500000
A,7,1,167500001,1.68e+08
A,7,1,168500001,1.69e+08
A,7,1,169000001,169500000
A,7,1,169500001,1.7e+08
A,7,1,170500001,1.71e+08
A,7,1,171000001,171500000
A,7,1,171500001,1.72e+08
A,7,1,172000001,172500000
A,7,1,173000001,173500000
A,7,1,173500001,1.74e+08
A,7,1,175000001,175500000
A,4,1,17500001,1.8e+07
A,7,1,175500001,1.76e+08
A,7,1,176500001,1.77e+08
A,7,1,177000001,177500000
A,7,1,178000001,178500000
A,7,1,179000001,179500000
A,7,1,179500001,1.8e+08
A,7,1,180000001,180500000
A,4,1,18000001,18500000
A,7,1,181000001,181500000
A,7,1,181500001,1.82e+08
A,7,1,182000001,182500000
A,7,1,182500001,1.83e+08
A,7,1,183000001,183500000
A,7,1,183500001,1.84e+08
A,7,1,184000001,184500000
A,7,1,185000001,185500000
A,4,1,18500001,1.9e+07
A,7,1,186000001,186500000
A,7,1,186500001,1.87e+08
A,7,1,188000001,188500000
A,7,1,188500001,1.89e+08
A,7,1,189000001,189500000
A,7,1,189500001,1.9e+08
A,7,1,190000001,190500000
A,4,1,19000001,19500000
A,7,1,190500001,1.91e+08
A,7,1,191000001,191500000
A,7.5,1,191500001,1.92e+08
A,8,1,192500001,1.93e+08
A,8,1,193000001,193500000
A,8,1,194000001,194500000
A,8,1,194500001,1.95e+08
A,8,1,195000001,195500000
A,4,1,19500001,2e+07
A,8,1,195500001,1.96e+08
A,7,1,197000001,197500000
A,7,1,198000001,198500000
A,7,1,198500001,1.99e+08
A,7,1,199000001,199500000
A,7,1,199500001,2e+08
A,7,1,200000001,200500000
A,4,1,20000001,20500000
A,7,1,200500001,2.01e+08
A,7,1,201000001,201500000
A,7,1,201500001,2.02e+08
A,7,1,202000001,202500000
A,7,1,202500001,2.03e+08
A,7,1,203000001,203500000
A,7,1,204000001,204500000
A,7,1,204500001,2.05e+08
A,7,1,205000001,205500000
A,4,1,20500001,2.1e+07
A,7.5,1,207000001,207500000
A,11,1,208000001,208500000
A,11,1,208500001,2.09e+08
A,11,1,209000001,209500000
A,11,1,209500001,2.1e+08
A,11,1,210000001,210500000
A,4,1,21000001,21500000
A,11,1,210500001,2.11e+08
A,11,1,211000001,211500000
A,5,1,211500001,2.12e+08
A,5,1,212000001,212500000
A,5,1,212500001,2.13e+08
A,5,1,213000001,213500000
A,5,1,213500001,2.14e+08
A,5,1,214000001,214500000
A,5,1,214500001,2.15e+08
A,5,1,215000001,215500000
A,4,1,21500001,2.2e+07
A,5,1,215500001,2.16e+08
A,5,1,216000001,216500000
A,6,1,216500001,2.17e+08
A,7,1,217000001,217500000
A,7,1,218500001,2.19e+08
A,7,1,219000001,219500000
A,7,1,219500001,2.2e+08
A,7,1,220000001,220500000
A,4,1,22000001,22500000
A,7,1,220500001,2.21e+08
A,7,1,221000001,221500000
A,7,1,221500001,2.22e+08
A,7,1,222000001,222500000
A,7,1,224500001,2.25e+08
A,7,1,225000001,225500000
A,4,1,22500001,2.3e+07
A,5,1,225500001,2.26e+08
A,5,1,226000001,226500000
A,5,1,226500001,2.27e+08
A,5,1,227000001,227500000
A,5,1,227500001,2.28e+08
A,5,1,228000001,228500000
A,5.5,1,229000001,229500000
A,6,1,229500001,2.3e+08
A,6,1,230000001,230500000
A,4,1,23000001,23500000
A,6,1,230500001,2.31e+08
A,6,1,231000001,231500000
A,6,1,231500001,2.32e+08
A,6,1,232000001,232500000
A,6,1,232500001,2.33e+08
A,6,1,233000001,233500000
A,6,1,233500001,2.34e+08
A,6,1,234000001,234500000
A,6,1,234500001,2.35e+08
A,4,1,23500001,2.4e+07
A,5.5,1,235500001,2.36e+08
A,5.5,1,236000001,236500000
A,5.5,1,238000001,238500000
A,5.5,1,238500001,2.39e+08
A,5.5,1,239000001,239500000
A,5,1,240000001,240500000
A,5.5,1,240500001,2.41e+08
A,5.5,1,241000001,241500000
A,5,1,241500001,2.42e+08
A,5,1,242000001,242500000
A,5,1,242500001,2.43e+08
A,5,1,243500001,2.44e+08
A,5,1,244000001,244500000
A,5,1,244500001,2.45e+08
A,5,1,245000001,245500000
A,4,1,24500001,2.5e+07
A,5,1,245500001,2.46e+08
A,5,1,246000001,246500000
A,5,1,247000001,247500000
A,4,1,25000001,25500000
A,4,1,26000001,26500000
A,4,1,26500001,2.7e+07
A,4,1,27000001,27500000
A,4,1,27500001,2.8e+07
A,4,1,28000001,28500000
A,4,1,28500001,2.9e+07
A,4,1,29000001,29500000
A,4,1,3000001,3500000
A,4,1,30500001,3.1e+07
A,4,1,31000001,31500000
A,4,1,31500001,3.2e+07
A,4,1,32000001,32500000
A,4,1,32500001,3.3e+07
A,4,1,33000001,33500000
A,4,1,33500001,3.4e+07
A,4,1,34000001,34500000
A,4,1,35500001,3.6e+07
A,4,1,36000001,36500000
A,4,1,36500001,3.7e+07
A,4,1,37000001,37500000
A,4,1,37500001,3.8e+07
A,4,1,38500001,3.9e+07
A,5,1,39000001,39500000
A,5,1,39500001,4e+07
A,5,1,40000001,40500000
A,5,1,40500001,4.1e+07
A,6,1,41000001,41500000
A,6,1,41500001,4.2e+07
A,6,1,42000001,42500000
A,6,1,42500001,4.3e+07
A,6,1,43000001,43500000
A,6,1,43500001,4.4e+07
A,6,1,44000001,44500000
A,6,1,44500001,4.5e+07
A,6,1,45000001,45500000
A,4,1,4500001,5e+06
A,6,1,45500001,4.6e+07
A,6,1,46000001,46500000
A,6,1,46500001,4.7e+07
